table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,ordinal_position
"annual_report_fees_ca_openend","data_inserted_at","timestamp without time zone","","","","NO","CURRENT_TIMESTAMP","1"
"annual_report_fees_ca_openend","status_code","numeric","","","","YES","","2"
"annual_report_fees_ca_openend","status_message","text","","","","YES","","3"
"annual_report_fees_ca_openend","_id","text","","","","YES","","4"
"annual_report_fees_ca_openend","_idtype","text","","","","YES","","5"
"annual_report_fees_ca_openend","annualreportdate","text","","","","YES","","6"
"annual_report_fees_ca_openend","interimnetexpenseratio","text","","","","YES","","7"
"annual_report_fees_ca_openend","interimnetexpenseratiodate","text","","","","YES","","8"
"annual_report_fees_ca_openend","mer","text","","","","YES","","9"
"annual_report_fees_ca_openend","tradingexpenseratio","text","","","","YES","","10"
"annual_report_fees_ca_openend","_name","text","","","","YES","","11"
"annual_report_fees_ca_openend","semi_annual_report_net_expense_ratio_date","text","","","","YES","","12"
"annual_report_fees_ca_openend","semi_annual_report_turnover_ratio_date","text","","","","YES","","13"
"annual_report_fees_ca_openend","_hashkey","numeric","","","","YES","","14"
"annual_report_fees_ca_openend","_runid","text","","","","YES","","15"
"annual_report_fees_ca_openend","_timestampfrom","timestamp with time zone","","","","YES","","16"
"annual_report_fees_ca_openend","_timestampto","timestamp with time zone","","","","YES","","17"
"annual_report_fees_ca_openend","fault_faultstring","text","","","","YES","","18"
"annual_report_fees_ca_openend","fault_detail_errorcode","text","","","","YES","","19"
"annual_report_fees_ca_openend","_currencyid","text","","","","YES","","20"
"fee_levels_ca_openend","data_inserted_at","timestamp without time zone","","","","NO","CURRENT_TIMESTAMP","1"
"fee_levels_ca_openend","status_code","numeric","","","","YES","","2"
"fee_levels_ca_openend","status_message","text","","","","YES","","3"
"fee_levels_ca_openend","_id","text","","","","YES","","4"
"fee_levels_ca_openend","_idtype","text","","","","YES","","5"
"fee_levels_ca_openend","feelevel","text","","","","YES","","6"
"fee_levels_ca_openend","feeleveldate","text","","","","YES","","7"
"fee_levels_ca_openend","feelevelrank","text","","","","YES","","8"
"fee_levels_ca_openend","_name","text","","","","YES","","9"
"fee_levels_ca_openend","_hashkey","numeric","","","","YES","","10"
"fee_levels_ca_openend","_runid","text","","","","YES","","11"
"fee_levels_ca_openend","_timestampfrom","timestamp with time zone","","","","YES","","12"
"fee_levels_ca_openend","_timestampto","timestamp with time zone","","","","YES","","13"
"fee_levels_ca_openend","fault_faultstring","text","","","","YES","","14"
"fee_levels_ca_openend","fault_detail_errorcode","text","","","","YES","","15"
"fund_attributes_ca_openend","data_inserted_at","timestamp without time zone","","","","NO","CURRENT_TIMESTAMP","1"
"fund_attributes_ca_openend","status_code","numeric","","","","YES","","2"
"fund_attributes_ca_openend","status_message","text","","","","YES","","3"
"fund_attributes_ca_openend","_id","text","","","","YES","","4"
"fund_attributes_ca_openend","_idtype","text","","","","YES","","5"
"fund_attributes_ca_openend","activenontransparent","boolean","","","","YES","","6"
"fund_attributes_ca_openend","availablefor529only","boolean","","","","YES","","7"
